Major Name,Required Courses,Electives
"Aerospace Engineering, B.S.: 127 units","ARO 1011L - Introduction to Aeronautics and Air Propulsion Laboratory (1),ARO 1021L - Introduction to Astronautics and Rocket Propulsion Laboratory (1),ARO 2011L - Fundamentals of Systems Engineering and Design Laboratory (1),ARO 2021L - Introduction to Aerospace Computational Methods Laboratory (1),ARO 2041 - Engineering Statics (3),ARO 2150 - Vector Dynamics (3),ARO 2311 - Elements of Avionics (2),ARO 2311L - Elements of Avionics Laboratory (1),ARO 3011 - Fluid Dynamics and Low-Speed Aerodynamics (4),ARO 3090 - Orbital Mechanics (3),ARO 3111 - Gas Dynamics and High-Speed Aerodynamics (4),ARO 3120 - Aircraft Jet Propulsion (3),ARO 4140 - Rocket Propulsion (3),ARO 3180 - Advanced Engineering Mathematics (2),ARO 3220 - Aerospace Feedback Control Systems (3),ARO 3220L - Aerospace Feedback Control Systems Laboratory (1),ARO 3261 - Aerospace Structural Mechanics I (3),ARO 3271 - Aerospace Structural Mechanics II (3),ARO 3570L - Aerospace Structures Laboratory (1),ARO 4011 - Thermodynamics and Heat Transfer (4),ARO 4050 - Aircraft Stability and Control (3),ARO 4090 - Space Vehicle Dynamics and Control (3),ARO 4060 - Vibrations and Dynamics of Aerospace Systems (3),ARO 4351L - Wind Tunnel Testing Laboratory (1),ARO 4711L - Space Launch Vehicle Design Laboratory I (2),ARO 4811L - Space Vehicle Design Laboratory I (2),ARO 4911L - Air Vehicle Design Laboratory I (2),ARO 4721L - Space Launch Vehicle Design Laboratory II (2),ARO 4821L - Space Vehicle Design Laboratory II (2),ARO 4921L - Air Vehicle Design Laboratory II (2),CHM 1150 - General Chemistry for Engineers (3),EGR 4810 - Project Design Principles and Applications (1),EGR 4820 - Project Design Principles and Applications (1),EGR 4830 - Project Design Principles and Applications (1),IME 4020 - Ethical Concepts in Technology and Applied Science (3),MAT 1140 - Calculus I (4),MAT 1150 - Calculus II (4),MAT 2140 - Calculus III (4),MAT 2240 - Elementary Linear Algebra and Differential Equations (3),MTE 2070 - Materials Science and Engineering (2),PHY 1510 - Introduction to Newtonian Mechanics (3),PHY 1510L - Newtonian Mechanics Laboratory (1),PHY 1520 - Introduction to Electromagnetism and Circuits (3),PHY 1520L - Introductory Laboratory on Electromagnetism and Circuits (1)","ARO 3281 - Aerospace Structural Analysis and Design (3),ARO 3191 - Space Environment (3),ARO 4020 - Numerical Methods (3),ARO 4070 - Trajectory Design (3),ARO 4080 - Finite Element Analysis of Structures (3),ARO 4090 - Space Vehicle Dynamics and Control (3),ARO 4120 - Wing Theory (3),ARO 4140 - Rocket Propulsion (3),ARO 4180 - Computational Fluid Dynamics (3),ARO 4200 - Aerospace Program Management (3),ARO 4210 - Helicopter Aerodynamics and Performance (3),ARO 4220 - Robust Control of Nonlinear Systems (3),ARO 4260 - Surface Transportation and Power Generation Systems (3),ARO 4270 - Structural Dynamics and Aeroelasticity (3),ARO 4330 - Digital Flight Control Systems (3),ARO 4360 - Mechanics of Composite Materials (3),ARO 4430 - Aircraft System Identification (3),ARO 4450 - Optimal Control and Estimation (3),ARO 4460 - Orbit Determination and Estimation (3),ARO 4510 - Model-Based Systems Architecture (3),ARO 3120 - Aircraft Jet Propulsion (3),ARO 3191 - Space Environment (3),ARO 3281 - Aerospace Structural Analysis and Design (3),ARO 4020 - Numerical Methods (3),ARO 4050 - Aircraft Stability and Control (3),ARO 4070 - Trajectory Design (3),ARO 4080 - Finite Element Analysis of Structures (3),ARO 4120 - Wing Theory (3),ARO 4180 - Computational Fluid Dynamics (3),ARO 4200 - Aerospace Program Management (3),ARO 4210 - Helicopter Aerodynamics and Performance (3),ARO 4220 - Robust Control of Nonlinear Systems (3),ARO 4260 - Surface Transportation and Power Generation Systems (3),ARO 4270 - Structural Dynamics and Aeroelasticity (3),ARO 4330 - Digital Flight Control Systems (3),ARO 4360 - Mechanics of Composite Materials (3),ARO 4430 - Aircraft System Identification (3),ARO 4450 - Optimal Control and Estimation (3),ARO 4460 - Orbit Determination and Estimation (3),ARO 4510 - Model-Based Systems Architecture (3)"
"Anthropology, B.S. - General Anthropology Subplan/Option: 120 units","ANT 1010 - Introduction to Biological Anthropology (3),ANT 1020 - Introduction to Cultural Anthropology (3),ANT 1030 - Introduction to Archaeology and World Prehistory (3),ANT 1040 - Introduction to Linguistic Anthropology (3),ANT 3220 - North American Archaeology (3),ANT 3250 - California Archaeology (3),ANT 3270 - The Ancient and Contemporary Maya (3),ANT 3970 - Cultural Resource Management (3),ANT 4750 - The Aztec: Art, Religion and Society (3),ANT 3400 - Comparative Primatology (2),ANT 3400L - Comparative Primatology Laboratory (1),ANT 3450 - Human Evolution and Diversity (2),ANT 3450L - Human Evolution and Diversity Laboratory (1),ANT 3570 - Health Systems Past and Present (3),ANT 4100 - Human Skeletal Biology and Osteology (3),ANT 3500 - Environment, Technology and Culture (3),ANT 3520 - Anthropology of Globalization and Development (3),ANT 3580 - Social Anthropology (3),ANT 3700 - Visual Anthropology (2),ANT 3700L - Visual Anthropology Laboratory (1),ANT 4180 - Business Anthropology (3),ANT 3530 - Language and Culture (3),ANT 4300 - Archaeological Method and Theory (3),ANT 4610 - Senior Capstone (3),ANT 4800 - History of Anthropological Theory (3)","ANT 3600 - Magic, Shamanism, and Religion (3),ANT 3790 - Culture Areas of the World (3),ANT 4050 - Anthropology of Gender (3),ANT 4900 - Methods in Anthropology (2),ANT 4900L - Methods in Anthropology Laboratory (1)"
"Animal Health Science, B.S.: 120 units","AG 1110 - Agriculture: The Foundation of Civilizations (3),AG 4010 - Ethical Issues in Food, Agricultural and Apparel Industries (3),AHS 1104 - Orientation and Careers in Animal Health Science (2),AHS 1129 - Handling, Restraint and Nursing Care of Domestic Animals (3),AHS 1129L - Handling, Restraint and Nursing Care of Domestic Animals Laboratory (2),AHS 2202 - Clinical Anatomy and Physiology (3),AHS 2202L - Clinical Anatomy and Physiology Laboratory (1),AHS 2208 - Diagnostic Imaging (1),AHS 2208L - Diagnostic Imaging Laboratory (2),AHS 2210 - Veterinary Terminology (1),AHS 2220 - Clinical Nutrition (2),AHS 2410 - Clinical Internship I (1),AHS 3235 - Laboratory Procedures and Clinical Pathology (3),AHS 3235L - Laboratory Procedures and Clinical Pathology Laboratory (2),AHS 3263 - Companion Animal Nursing and Surgical Skills (2),AHS 3263L - Surgical Nursing Skills Laboratory (1),AHS 3305 - Parasitology and Infectious Diseases (3),AHS 3305L - Parasitology and Infectious Diseases Laboratory (1),AHS 3307 - Clinical Pharmacology (3),AHS 3307L - Clinical Pharmacology Laboratory (1),AHS 3369 - Lab Animal and Exotic Animal Medicine (2),AHS 3369L - Lab Animal and Exotic Animal Medicine Laboratory (1),AHS 4200 - Large Animal Medicine and Nursing Skills (1),AHS 4200L - Large Animal Medicine and Nursing Skills Laboratory (1),AHS 4407 - Critical Care, Advanced Surgical Assisting and Anesthesiology (2),AHS 4407L - Critical Care, Advanced Surgical Assisting and Anesthesiology Laboratory (2),AHS 4408L - Surgical Recovery, Nursing and Critical Care Laboratory (2),AHS 4410 - Clinical Internship II (1),AHS 4420 - Advanced Clinical Internship II (1),AHS 4450 - Veterinary Economics and Office Procedures (1),AHS 4610 - Senior Seminar (1-2),AVS 2211 - Drugs and Society (3),BIO 1150 - Basic Biology (3),BIO 1150L - Basic Biology Laboratory (1),BIO 2060 - Basic Microbiology (3),BIO 2060L - Basic Microbiology Laboratory (1),CHM 1210 - General Chemistry I (3),CHM 1210L - General Chemistry Laboratory I (1),CHM 1220 - General Chemistry II (3),CHM 1220L - General Chemistry Laboratory II (1),MAT 1050 - College Algebra (3),STA 1200 - Statistics with Applications (3)",
"Animal Science, B.S. - Pre-Veterinary Science/Graduate School Subplan/Option: 120 units","AG 1110 - Agriculture: The Foundation of Civilizations (3),AG 4010 - Ethical Issues in Food, Agricultural and Apparel Industries (3),AHS 3305 - Parasitology and Infectious Diseases (3),AHS 3305L - Parasitology and Infectious Diseases Laboratory (1),BIO 2060 - Basic Microbiology (3),BIO 2060L - Basic Microbiology Laboratory (1),AVS 1000 - Orientation to Animal &amp; Veterinary Sciences (1),AVS 1112 - Food Animal Production (3),AVS 1113 - Companion, Laboratory and Exotic Animal Care (3),AVS 1114L - Food Animal Production Laboratory (1),AVS 1115L - Companion Animal Management Laboratory (1),AVS 2101 - Fundamentals of Animal Nutrition (3),AVS 2101L - Fundamentals of Animal Nutrition Laboratory (1),AVS 3305 - Animal Genetics (3),AVS 3311 - Animal Industry and Society (3),AVS 3333 - Canine and Feline Compendium (3),AVS 3350 - Anatomy and Physiology (4),AVS 3350L - Anatomy and Physiology Laboratory (1),AVS 4430 - Biotechnology Applications in Animal Science (3),AVS 4430L - Biotechnology Applications in Animal Science Laboratory (1),AVS 4610 - Senior Seminar (1),CHM 1210 - General Chemistry I (3),CHM 1210L - General Chemistry Laboratory I (1),CHM 1220 - General Chemistry II (3),CHM 1220L - General Chemistry Laboratory II (1),MAT 1050 - College Algebra (3),STA 1200 - Statistics with Applications (3)","BIO 1210 - Foundations of Biology: Energy, Matter, and Information (3),BIO 1210L - Foundations of Biology: Energy, Matter, and Information Laboratory (1),BIO 1220 - Foundations of Biology: Evolution, Ecology, and Biodiversity (3),BIO 1220L - Foundations of Biology: Evolution, Ecology, and Biodiversity Laboratory (1),CHM 3140 - Organic Chemistry I (4),CHM 3140L - Organic Chemistry Laboratory I (1),CHM 3150 - Organic Chemistry II (3),CHM 3150L - Organic Chemistry Laboratory II (1),CHM 3210 - Elements of Biochemistry (3),MAT 1060 - Trigonometry (3),PHY 1210 - Physics of Motion, Fluids, and Heat (3),PHY 1210L - Physics of Motion, Fluids, and Heat Laboratory (1),PHY 1220 - Physics of Electromagnetism, Circuits, and Light (3),PHY 1220L - Electromagnetism, Circuits, and Light Laboratory (1)"
"Anthropology, B.S. - Archaeology Subplan/Option: 120 units","ANT 1010 - Introduction to Biological Anthropology (3),ANT 1020 - Introduction to Cultural Anthropology (3),ANT 1030 - Introduction to Archaeology and World Prehistory (3),ANT 1040 - Introduction to Linguistic Anthropology (3),ANT 3220 - North American Archaeology (3),ANT 3250 - California Archaeology (3),ANT 3270 - The Ancient and Contemporary Maya (3),ANT 3970 - Cultural Resource Management (3),ANT 4750 - The Aztec: Art, Religion and Society (3),ANT 3400 - Comparative Primatology (2),ANT 3400L - Comparative Primatology Laboratory (1),ANT 3450 - Human Evolution and Diversity (2),ANT 3450L - Human Evolution and Diversity Laboratory (1),ANT 3570 - Health Systems Past and Present (3),ANT 4100 - Human Skeletal Biology and Osteology (3),ANT 3500 - Environment, Technology and Culture (3),ANT 3520 - Anthropology of Globalization and Development (3),ANT 3580 - Social Anthropology (3),ANT 3700 - Visual Anthropology (2),ANT 3700L - Visual Anthropology Laboratory (1),ANT 4180 - Business Anthropology (3),ANT 3530 - Language and Culture (3),ANT 4300 - Archaeological Method and Theory (3),ANT 4610 - Senior Capstone (3),ANT 4800 - History of Anthropological Theory (3)","ANT 3220 - North American Archaeology (3),ANT 3250 - California Archaeology (3),ANT 3270 - The Ancient and Contemporary Maya (3),ANT 4750 - The Aztec: Art, Religion and Society (3),ANT 3940 - Field Archaeology (2),ANT 3940L - Field Archaeology Laboratory (1),ANT 3950 - Methods in Archaeology (2),ANT 3950L - Methods in Archaeology Laboratory (1),ANT 4100 - Human Skeletal Biology and Osteology (3),ANT 3970 - Cultural Resource Management (3)"
"Agribusiness and Food Industry Management, B.S.: 120 units","ABM 2010 - Agribusiness Organizations and Careers (3),ABM 2240 - Accounting for Agribusiness I (3),ABM 3040 - Food and Agribusiness Marketing (3),ABM 3060 - Retailing and Wholesaling of Agribusiness Products (3),ABM 3090 - Promotion and Advertising for Agribusiness (3),ABM 3100 - Sales and Professional Development for Agribusiness (3),ABM 3110 - Applied Economics for Agribusiness (3),EC 4435 - Environmental Economics (3),ABM 3130 - Food and Agriculture Policy (3),ABM 3260 - Financial Analysis for Agribusiness (3),ABM 3750 - Data Management for Agribusiness (3),AMM 3550 - Data Analytics for Fashion Business (3),ABM 4020 - Agribusiness Personnel Management (3),ABM 4900 - Agribusiness Senior Feasibility Study (3),AG 1110 - Agriculture: The Foundation of Civilizations (3),AG 1280 - Computer Applications for Agriculture (3),CIS 1010 - Introduction to Personal Computing (3),AG 2010 - Global Resources for Food (3),AG 4010 - Ethical Issues in Food, Agricultural and Apparel Industries (3),AG 4640 - Development of Leadership Skills In Agriculture (3),AGS 1000 - Orientation to Agricultural Science (1),EC 2201 - Principles of Microeconomics (3),FST 3220 - Food Laws and Regulations (3),FRL 2013 - The Legal Environment of Business and its Transactions (3),STA 1200 - Statistics with Applications (3)",
"Agricultural Science, B.S.: 120 units","ABM 2240 - Accounting for Agribusiness I (3),AG 1110 - Agriculture: The Foundation of Civilizations (3),AG 2010 - Global Resources for Food (3),AG 4010 - Ethical Issues in Food, Agricultural and Apparel Industries (3),AG 4640 - Development of Leadership Skills In Agriculture (3),AGS 1000 - Orientation to Agricultural Science (1),AGS 3000 - Advocacy in Agricultural Science (2),AGS 4610 - Senior Project (3),AMM 2480 - Focus on the Future: Leadership Skills for the 21st Century (3),AVS 1112 - Food Animal Production (3),AVS 1114L - Food Animal Production Laboratory (1),AVS 3311 - Animal Industry and Society (3),AVS 3327 - Meat Science (3),BIO 1150 - Basic Biology (3),BIO 1150L - Basic Biology Laboratory (1),CHM 1210 - General Chemistry I (3),CHM 1210L - General Chemistry Laboratory I (1),PLT 1120 - Plant Science I (3),PLT 1120L - Plant Science I Laboratory (1),PLT 2140 - History of Garden Art (3),PLT 3000 - Insects and Civilization (3),STA 1200 - Statistics with Applications (3)","AHS 3305 - Parasitology and Infectious Diseases (3),AHS 3305L - Parasitology and Infectious Diseases Laboratory (1),AVS 1113 - Companion, Laboratory and Exotic Animal Care (3),AVS 1115L - Companion Animal Management Laboratory (1),AVS 2101 - Fundamentals of Animal Nutrition (3),AVS 2101L - Fundamentals of Animal Nutrition Laboratory (1),AVS 3305 - Animal Genetics (3),AVS 3350 - Anatomy and Physiology (4),AVS 3350L - Anatomy and Physiology Laboratory (1),AVS 4430 - Biotechnology Applications in Animal Science (3),AVS 4430L - Biotechnology Applications in Animal Science Laboratory (1),PLT 1130 - Plant Science II (3),PLT 1130L - Plant Science II Laboratory (1),PLT 2200 - Agronomic Principles and Practices (2),PLT 2200L - Agronomic Principles and Practices Laboratory (1),PLT 2230 - Forage and Pasture Crops (2),PLT 2230L - Forage and Pasture Crops Laboratory (1),PLT 2260 - Vegetable Crop Systems (2),PLT 2260L - Vegetable Crop Systems Laboratory (1),PLT 2310 - Basic Soil Science (2),PLT 2310L - Basic Soil Science Laboratory (1),PLT 2320 - Basic Irrigation Science (3),PLT 2420 - Plant Materials (2),PLT 2420L - Plant Materials Laboratory (1),PLT 3030 - Pesticide Laws and Regulations (2),PLT 3200 - Agricultural Insect Pests (2),PLT 3200L - Agricultural Insect Pests Laboratory (1),PLT 3650 - Sustainable Agriculture (2),PLT 3650L - Sustainable Agriculture Laboratory (1),PLT 4230 - Diseases of Ornamentals and Agronomic Crops (2),PLT 4230L - Diseases of Ornamentals and Agronomic Crops Laboratory (1),ABM 2010 - Agribusiness Organizations and Careers (3),ABM 2240 - Accounting for Agribusiness I (3),ABM 3110 - Applied Economics for Agribusiness (3),ABM 3130 - Food and Agriculture Policy (3),ABM 3290 - Equine Enterprise Management (3),ABM 3300 - International Food and Agribusiness Marketing (3),ABM 4050 - Food and Agricultural Marketing Applications (3),ABM 4130 - Agricultural Law and Compliance (3),ABM 4300 - Equine Appraisal and Evaluation (3),ABM 4500 - Agricultural Water Resource Management (3),PLT 2020 - Subtropical Fruits (2),PLT 2020L - Subtropical Fruits Laboratory (1),PLT 2450 - General Surveying (1),PLT 2450L - General Surveying Laboratory (1),PLT 3020 - Technology Innovations in Plant Science (3),PLT 4400 - Integrated Pest Management (3),PLT 4965 - Sustainable Small-Scale Production (2),PLT 4965L - Sustainable Small-Scale Production Laboratory (1),PLT 1130 - Plant Science II (3),PLT 1130L - Plant Science II Laboratory (1),PLT 2200 - Agronomic Principles and Practices (2),PLT 2200L - Agronomic Principles and Practices Laboratory (1),PLT 2230 - Forage and Pasture Crops (2),PLT 2230L - Forage and Pasture Crops Laboratory (1),PLT 2260 - Vegetable Crop Systems (2),PLT 2260L - Vegetable Crop Systems Laboratory (1),PLT 2310 - Basic Soil Science (2),PLT 2310L - Basic Soil Science Laboratory (1),PLT 2320 - Basic Irrigation Science (3),PLT 2420 - Plant Materials (2),PLT 2420L - Plant Materials Laboratory (1),PLT 3030 - Pesticide Laws and Regulations (2),PLT 3200 - Agricultural Insect Pests (2),PLT 3200L - Agricultural Insect Pests Laboratory (1),PLT 3650 - Sustainable Agriculture (2),PLT 3650L - Sustainable Agriculture Laboratory (1),PLT 4230 - Diseases of Ornamentals and Agronomic Crops (2),PLT 4230L - Diseases of Ornamentals and Agronomic Crops Laboratory (1),PLT 4311 - Plants and Civilization (3),AHS 3305 - Parasitology and Infectious Diseases (3),AHS 3305L - Parasitology and Infectious Diseases Laboratory (1),AVS 1112 - Food Animal Production (3),AVS 1113 - Companion, Laboratory and Exotic Animal Care (3),AVS 1114L - Food Animal Production Laboratory (1),AVS 1115L - Companion Animal Management Laboratory (1),AVS 2101 - Fundamentals of Animal Nutrition (3),AVS 2101L - Fundamentals of Animal Nutrition Laboratory (1),AVS 3305 - Animal Genetics (3),AVS 3311 - Animal Industry and Society (3),AVS 3327 - Meat Science (3),AVS 3350 - Anatomy and Physiology (4),AVS 3350L - Anatomy and Physiology Laboratory (1),AVS 4430 - Biotechnology Applications in Animal Science (3),AVS 4430L - Biotechnology Applications in Animal Science Laboratory (1),ABM 2010 - Agribusiness Organizations and Careers (3),ABM 2240 - Accounting for Agribusiness I (3),ABM 3110 - Applied Economics for Agribusiness (3),ABM 3130 - Food and Agriculture Policy (3),ABM 3290 - Equine Enterprise Management (3),ABM 3300 - International Food and Agribusiness Marketing (3),ABM 4050 - Food and Agricultural Marketing Applications (3),ABM 4130 - Agricultural Law and Compliance (3),ABM 4300 - Equine Appraisal and Evaluation (3),ABM 4500 - Agricultural Water Resource Management (3),PLT 2020 - Subtropical Fruits (2),PLT 2020L - Subtropical Fruits Laboratory (1),PLT 2450 - General Surveying (1),PLT 2450L - General Surveying Laboratory (1),PLT 3020 - Technology Innovations in Plant Science (3),PLT 4400 - Integrated Pest Management (3),PLT 4965 - Sustainable Small-Scale Production (2),PLT 4965L - Sustainable Small-Scale Production Laboratory (1)"
"Animal Science, B.S. - Animal Science Subplan/Option: 120 units","AG 1110 - Agriculture: The Foundation of Civilizations (3),AG 4010 - Ethical Issues in Food, Agricultural and Apparel Industries (3),AHS 3305 - Parasitology and Infectious Diseases (3),AHS 3305L - Parasitology and Infectious Diseases Laboratory (1),BIO 2060 - Basic Microbiology (3),BIO 2060L - Basic Microbiology Laboratory (1),AVS 1000 - Orientation to Animal &amp; Veterinary Sciences (1),AVS 1112 - Food Animal Production (3),AVS 1113 - Companion, Laboratory and Exotic Animal Care (3),AVS 1114L - Food Animal Production Laboratory (1),AVS 1115L - Companion Animal Management Laboratory (1),AVS 2101 - Fundamentals of Animal Nutrition (3),AVS 2101L - Fundamentals of Animal Nutrition Laboratory (1),AVS 3305 - Animal Genetics (3),AVS 3311 - Animal Industry and Society (3),AVS 3333 - Canine and Feline Compendium (3),AVS 3350 - Anatomy and Physiology (4),AVS 3350L - Anatomy and Physiology Laboratory (1),AVS 4430 - Biotechnology Applications in Animal Science (3),AVS 4430L - Biotechnology Applications in Animal Science Laboratory (1),AVS 4610 - Senior Seminar (1),CHM 1210 - General Chemistry I (3),CHM 1210L - General Chemistry Laboratory I (1),CHM 1220 - General Chemistry II (3),CHM 1220L - General Chemistry Laboratory II (1),MAT 1050 - College Algebra (3),STA 1200 - Statistics with Applications (3)","AVS 3327 - Meat Science (3),AVS 3456 - Animal Behavior (3),AVS 4214 - Mammalian Endocrinology and Physiology of Reproduction and Lactation (3),AVS 4214L - Mammalian Reproduction and Lactational Physiology Laboratory (1),AVS 4402 - Advanced Nutrition (3),AVS 4473 - Clinical Nutrition (3),BIO 1150 - Basic Biology (3),BIO 1150L - Basic Biology Laboratory (1),BIO 1210 - Foundations of Biology: Energy, Matter, and Information (3),BIO 1210L - Foundations of Biology: Energy, Matter, and Information Laboratory (1),CHM 2010 - Elements of Organic Chemistry (3),CHM 2010L - Elements of Organic Chemistry Laboratory (1),CHM 3140 - Organic Chemistry I (4),CHM 3140L - Organic Chemistry Laboratory I (1)"
"Anthropology, B.S. - Applied Anthropology Subplan/Option: 120 units","ANT 1010 - Introduction to Biological Anthropology (3),ANT 1020 - Introduction to Cultural Anthropology (3),ANT 1030 - Introduction to Archaeology and World Prehistory (3),ANT 1040 - Introduction to Linguistic Anthropology (3),ANT 3220 - North American Archaeology (3),ANT 3250 - California Archaeology (3),ANT 3270 - The Ancient and Contemporary Maya (3),ANT 3970 - Cultural Resource Management (3),ANT 4750 - The Aztec: Art, Religion and Society (3),ANT 3400 - Comparative Primatology (2),ANT 3400L - Comparative Primatology Laboratory (1),ANT 3450 - Human Evolution and Diversity (2),ANT 3450L - Human Evolution and Diversity Laboratory (1),ANT 3570 - Health Systems Past and Present (3),ANT 4100 - Human Skeletal Biology and Osteology (3),ANT 3500 - Environment, Technology and Culture (3),ANT 3520 - Anthropology of Globalization and Development (3),ANT 3580 - Social Anthropology (3),ANT 3700 - Visual Anthropology (2),ANT 3700L - Visual Anthropology Laboratory (1),ANT 4180 - Business Anthropology (3),ANT 3530 - Language and Culture (3),ANT 4300 - Archaeological Method and Theory (3),ANT 4610 - Senior Capstone (3),ANT 4800 - History of Anthropological Theory (3)","ANT 3500 - Environment, Technology and Culture (3),ANT 3520 - Anthropology of Globalization and Development (3),ANT 3570 - Health Systems Past and Present (3),ANT 3700 - Visual Anthropology (2),ANT 3700L - Visual Anthropology Laboratory (1),ANT 3970 - Cultural Resource Management (3),ANT 4180 - Business Anthropology (3),ANT 4900 - Methods in Anthropology (2),ANT 4900L - Methods in Anthropology Laboratory (1),ANT 4910 - Forensic Anthropology (3)"
"Apparel Merchandising and Management, B.S. - Apparel Production and Management Subplan/Option: 120 units","ABM 2240 - Accounting for Agribusiness I (3),ACC 2070 - Financial Accounting for Decision Making (3),AG 1110 - Agriculture: The Foundation of Civilizations (3),AG 4010 - Ethical Issues in Food, Agricultural and Apparel Industries (3),AMM 1080 - Culture, People, and Dress (3),AMM 1200 - American Demographics and Lifestyles (3),AMM 2450 - Consumerism: Its Impact and Issues (3),AMM 1010 - Introduction to Fashion Studies and Careers (3),AMM 1120 - Digital Illustration for Fashion (1),AMM 1120L - Digital Illustration for Fashion Laboratory (2),AMM 1600 - Introduction to Textile Science (2),AMM 1600L - Introduction to Textile Science Laboratory (1),AMM 2200 - Introduction to Fashion Retailing (3),AMM 2500 - Fashion Retail Buying I (3),AMM 2510A - Fashion Retail Buying I Activity (1),AMM 2600 - Textile Fabrications (2),AMM 2600L - Textile Fabrications Laboratory (1),AMM 2800 - Apparel Construction and Quality (2),AMM 2800L - Apparel Construction and Quality Laboratory (1),AMM 3100 - Design and Merchandising Strategies (2),AMM 3100A - Design and Merchandising Strategies Activity (1),AMM 3410 - Apparel Professional Development (3),AMM 3550 - Data Analytics for Fashion Business (3),TOM 3020 - Statistical Foundations for Business Analytics (3),AMM 3600 - Textile Quality Assurance (2),AMM 3600L - Textile Quality Assurance Laboratory (1),AMM 3810 - Apparel Production I (2),AMM 3810L - Apparel Production I Laboratory (1),AMM 4570 - Dynamics of the Global Apparel Complex (3),AMM 4420 - Internship (2),AMM 4630 - Apparel Research Project (1),AMM 4630A - Apparel Research Project Activity (2),CHM 1010 - Chemistry in Our World (2),CHM 1010L - Chemistry in Our World Laboratory (1),CHM 1210 - General Chemistry I (3),CHM 1210L - General Chemistry Laboratory I (1),PHY 1020 - Fundamentals of Physics (3),STA 1200 - Statistics with Applications (3)","AMM 2140 - Basic Patternmaking and Apparel Construction (1),AMM 2140L - Basic Patternmaking and Apparel Construction Laboratory (2),AMM 4140L - Apparel Product Development Simulation Laboratory (3),AMM 4810 - Advanced Apparel Production (2),AMM 4810L - Advanced Apparel Production Laboratory (1),AMM 4920L - Apparel Production Simulation Laboratory (3),AMM 3120A - Textile and Apparel Digital Design Activity (3),AMM 3140 - Apparel Technical Design (1),AMM 3140A - Apparel Technical Design Activity (2),AMM 3900A - CAD for Patternmaking Activity (3),AMM 2150 - Sustainable Fashion (2),AMM 2150A - Sustainable Fashion Activity (1),AMM 3300 - Apparel Brand Development (3),AMM 3920 - Fashion Operations Management (3),AMM 4530 - Fashion Supply Chain Management (3)"
